customer_id,industry_code,industry,industry_group,employee_count,sales,abm_num_debit,abm_avg_debit,abm_num_credit,abm_avg_credit,card_num_debit,card_avg_debit,card_num_credit,card_avg_credit,cheque_num_debit,cheque_avg_debit,cheque_num_credit,cheque_avg_credit,wire_num_debit,wire_avg_debit,wire_num_credit,wire_avg_credit,eft_num_debit,eft_avg_debit,eft_num_credit,eft_avg_credit,emt_num_debit,emt_avg_debit,emt_num_credit,emt_avg_credit,cash_percent,debit_percent
SYNCID0000000027,5622,"Plumbing, Heating and Air Conditioning Equipment and Supplies, Wholesale",Building Materials Wholesale,1,,,,,,2,156.055,0,,,,,,,,,,,,,,,,,,0.0,100.0
SYNCID0000000029,9712,Beauty Shops,Personal and Household Services,1,111702,,,,,25,139.7452,1,4300.27,1,991.85,1,139.7,,,,,4,647.185,4,609.36,2,1194.295,4,57.9825,0.0,57.100677944624
SYNCID0000000031,7771,Management Consulting Services,Management Consulting,3,,,,,,2,74.65,0,,,,,,,,,,,,,,,,,,0.0,100.0
SYNCID0000000032,4274,Finish Carpentry,Construction Trades and Finishing,1,60171,,,,,174,220.075862068966,4,6518.1825,,,,,,,,,,,,,,,,,0.0,59.492964678674
SYNCID0000000033,7722,Computer Equipment Maintenance and Repair,Management Consulting,1,,,,,,174,283.798103448276,3,422.256666666667,,,,,,,,,,,,,4,930.035,11,727.419090909091,0.0,85.1395371992575
SYNCID0000000034,0911,"Contract Drilling, Oil and Gas Industry",Services for Mining and Petroleum,,120311,2,280.935,3,3050.96,27,182.188518518519,0,,2,2179.165,0,,,,,,3,14.4266666666667,1,670.21,2,2190.415,1,3145.26,4.34257805686377,52.3778310244476
SYNCID0000000035,9631,Entertainment Production Companies and Artists,Entertainment and Recreation,1,0,,,,,,,,,3,3221.70666666667,3,5600.63333333333,,,,,0,,1,76.07,1,41.31,1,879.36,0.0,35.3426843229041
SYNCID0000000036,9949,Other Repair Services n.e.c.,Miscellaneous Services,1,0,,,,,44,177.851136363636,2,1536.545,,,,,,,,,170,4914.49717647059,177,1636.9381920904,,,,,0.0,74.2266647884301
SYNCID0000000037,7752,Offices of Engineers,Management Consulting,4,0,,,,,,,,,,,,,,,,,16,2727.068125,16,3254.815625,0,,2,841.165,0.0,44.8012972666162
SYNCID0000000038,8652,"Offices of Physicians and Surgeons, Specialists",Healthcare Providers,0,0,1,104.55,0,,87,366.220459770115,1,71.46,0,,1,26348.95,0,,1,67268.48,18,1002.63777777778,2,5455.015,17,1414.38058823529,24,1351.1975,0.0495297304872048,35.0842365462234
SYNCID0000000039,7215,Holding Companies,Investment Companies,,135350,,,,,,,,,,,,,,,,,40,2991.46,9,484.777777777778,,,,,0.0,96.4820587414753
SYNCID0000000040,4013,Residential Renovation,Residential and Commercial Building Construction,0,0,,,,,28,210.463214285714,0,,84,3288.2430952381,53,2449.02962264151,,,,,1,2922.56,0,,22,1066.12318181818,19,848.294210526316,0.0,67.8880856248702
SYNCID0000000041,other,,,1,3167,,,,,82,155.159146341463,1,345.37,,,,,,,,,,,,,,,,,0.0,97.3572168632474
SYNCID0000000042,1099,Other Food Products Industries n.e.c.,Bakery and Food Production,0,0,,,,,,,,,,,,,,,,,3,1424.19333333333,4,892.925,,,,,0.0,54.4674590912104
SYNCID0000000043,7215,Holding Companies,Investment Companies,1,0,,,,,,,,,,,,,,,,,135,3341.18192592593,178,3692.89533707865,,,,,0.0,40.6948415038311
SYNCID0000000044,other,,,6,1244589,,,,,1,16.36,0,,1,414.76,0,,,,,,3,6211.51666666667,3,16541.82,4,1619.81,1,539.07,0.0,33.7407197834246
SYNCID0000000045,4561,General Freight Trucking Industry,Trucking and Freight,1,0,,,,,,,,,,,,,,,,,3,2340.64,1,761.16,,,,,0.0,90.2203240876363
SYNCID0000000046,4561,General Freight Trucking Industry,Trucking and Freight,7,419221,20,168.294,9,2115.56333333333,11,446.941818181818,1,42.1,,,,,,,,,,,,,46,1220.7852173913,92,595.008804347826,4.4424927459838,46.6062024279527
SYNCID0000000047,8611,General Hospitals,Healthcare Providers,1,298649,,,,,,,,,163,7170.64944785276,213,4398.85018779343,,,,,3,1834.53333333333,2,2817.845,4,196.9375,0,,0.0,55.4898392286806
SYNCID0000000048,7215,Holding Companies,Investment Companies,,0,,,,,,,,,,,,,,,,,25,17383.6288,18,12229.925,,,,,0.0,66.3771536627416
SYNCID0000000050,7611,Insurance and Real Estate Agencies,Legal and Accounting Services,0,0,,,,,,,,,8,1984.7275,14,1527.02214285714,,,,,8,6832.72625,8,635.85875,,,,,0.0,72.7176621447947
SYNCID0000000051,4013,Residential Renovation,Residential and Commercial Building Construction,3,117153,1,1033.42,2,635.935,6,116.856666666667,0,,,,,,,,,,4,162.9075,4,1715.18,2,339.48,4,224.495,9.72616760308605,25.340781697989
SYNCID0000000052,3999,Other Manufactured Products Industries n.e.c.,Specialty Manufactured Products,4,,,,,,39,125.971538461538,0,,1,1577.43,1,481.88,,,,,43,3425.60209302326,37,2869.88243243243,1,9135.82,1,816.69,0.0,60.2515723735606
SYNCID0000000053,9141,Outfitters (Hunting and Fishing Camps),Hotels and Lodging,1,139384,,,,,58,341.226551724138,2,268.915,4,1920.5575,2,332.365,,,,,,,,,0,,2,32.885,0.0,95.5871434187957
SYNCID0000000054,9953,Janitorial Services,Miscellaneous Services,5,732400,,,,,2,1063.815,0,,,,,,,,,,,,,,,,,,0.0,100.0
SYNCID0000000055,other,,,0,,,,,,,,,,,,,,0,,1,6354.06,6,14597.1616666667,5,8329.394,,,,,0.0,64.5968329596412
SYNCID0000000056,7721,Computer Services,Management Consulting,1,965321,,,,,44,251.809545454545,1,104.13,2,214.125,0,,,,,,13,4934.56615384615,11,23490.9636363636,1,9610.6,1,102.56,0.0,24.7961614669884
SYNCID0000000057,9631,Entertainment Production Companies and Artists,Entertainment and Recreation,,0,,,,,88,470.536704545455,2,2521.24,8,3633.29,9,1711.08,,,,,6,377.68,10,2380.413,1,10300.18,3,119.286666666667,0.0,65.0557879727994
SYNCID0000000058,0311,Salt Water Fishing Industry,Fishing Industry,,0,,,,,131,215.049923664122,3,838.733333333333,2,395.755,0,,,,,,3,29321.03,4,6436.9,,,,,0.0,80.533224271599
SYNCID0000000059,7511,Operators of Residential Buildings and Dwellings,Real Estate Operators,,0,0,,1,4394.34,3,74.04,0,,8,2402.355,6,1300.84666666667,,,,,,,,,,,,,0.0,61.4435098440663
SYNCID0000000060,other,,,2,,0,,2,2072.76,321,184.0046105919,6,2504.64833333333,2,1304.33,3,936.82,,,,,10,2205.691,5,2859.42,1,10791.1,0,,0.21197506603818,72.2629169701762
SYNCID0000000061,9659,Other Sports and Recreation Clubs,Entertainment and Recreation,1,0,,,,,2,583.295,0,,,,,,0,,1,7217.61,3,2991.52,10,1207.148,1,1581.08,1,4061.08,0.0,33.4229479590789
SYNCID0000000062,4569,Other Truck Transport Industries,Trucking and Freight,1,279426,4,154.515,1,168.75,57,189.49298245614,1,241.51,3,2817.79,0,,,,,,1,50.11,5,90549.634,3,2606.39333333333,0,,0.128521455332993,5.76872646666331
SYNCID0000000063,other,,,0,0,1,52.66,1,1050.38,1,106.98,0,,1,437.61,0,,1,262017.1,0,,2,1245.43,0,,49,1054.79673469388,26,742.953846153846,0.32715874005802,93.9591484013863
SYNCID0000000064,6593,Art Galleries and Artists' Supply Stores,Specialty Stores,1,261476,,,,,81,544.456296296296,3,907.593333333333,1,264.43,0,,,,,,6,2722.055,10,814.388,2,495.36,1,89.19,0.0,84.9184980677766
SYNCID0000000065,6121,Men's Clothing Stores,,6,0,10,625.428,10,2123.033,59,523.158644067797,0,,1,767.77,3,10759.4,,,,,2,3326.55,3,750.65,,,,,8.35487910060409,44.4074040804175
SYNCID0000000066,0229,Other Services Incidental to Agricultural Crops,Agricultural Support and Services,0,247659,,,,,116,336.920948275862,6,2863.67833333333,1,63.85,0,,,,,,1,548.67,4,2438.8825,,,,,0.0,59.5731541226976
SYNCID0000000067,6231,Floor Covering Stores,Electronics and Appliance Stores,6,734149,1,268.85,1,3102.54,2,70.295,1,303.6,55,4080.52672727273,17,5299.72117647059,,,,,16,1887.2525,9,2627.64777777778,25,2983.0788,12,834.046666666667,0.05885891726608,72.1613215537852
SYNCID0000000068,4013,Residential Renovation,Residential and Commercial Building Construction,1,0,71,681.485492957746,5,4383.192,9,204.761111111111,0,,3,710.073333333333,5,2683.412,,,,,1,57152.47,3,3335.88,14,859.035714285714,1,3085.62,27.2478449674487,71.5078841204941
SYNCID0000000069,9112,Motels,Hotels and Lodging,15,165941,,,,,,,,,2,1086.735,0,,,,,,2,35.485,1,120.64,1,129.13,7,704.188571428571,0.0,31.9736028547066
SYNCID0000000070,9811,Religious Organizations,Professional and Civic Organizations,,0,,,,,,,,,,,,,,,,,,,,,2,789.97,7,241.007142857143,0.0,48.3607234794107
SYNCID0000000071,other,,,4,0,2,626.83,0,,62,298.423870967742,3,2096.91333333333,1,1939.44,2,16653.375,,,,,8,3095.21875,3,4412.75333333333,4,1420.9,8,475.6325,1.15245656570039,47.9315975853991
SYNCID0000000072,0211,Veterinary Services,Agricultural Support and Services,0,0,3,539.913333333333,0,,10,121.274,0,,3,706.52,2,9277.025,,,,,,,,,0,,1,1666.92,6.43443116258246,19.6720217407453
SYNCID0000000073,0231,Agricultural Management and Consulting Services,Agricultural Support and Services,,0,,,,,,,,,,,,,,,,,27,3437.44296296296,19,8973.26894736842,,,,,0.0,35.2487192800297
SYNCID0000000074,9211,"Restaurants, Licensed",Restaurants and Bars,2,72172,,,,,,,,,15,4921.524,8,1257.075,,,,,,,,,,,,,0.0,88.0106524290929
SYNCID0000000075,7731,Offices of Chartered and Certified Accountants,Management Consulting,1,252807,3,373.123333333333,2,1875.505,6,195.53,0,,2,116583.75,0,,,,,,2,889.095,1,26964.59,14,1395.68571428571,24,567.8025,0.371734656567948,85.2740578777879
SYNCID0000000076,6599,Other Retail Stores n.e.c.,Specialty Stores,2,0,,,,,1,10.78,0,,,,,,,,,,1,222.81,1,97.9,,,,,0.0,70.4666807445172
SYNCID0000000077,8651,"Offices of Physicians, General Practice",Healthcare Providers,1,0,,,,,72,195.258055555556,2,142.95,4,1595.4875,2,1655.97,,,,,9,803.218888888889,9,2547.29,13,1548.89461538462,7,710.624285714286,0.0,60.2816540872691
SYNCID0000000078,7215,Holding Companies,Investment Companies,1,0,0,,1,2720.07,2,338.39,0,,37,1566.98810810811,7,2393.3,,,,,,,,,,,,,0.0,75.0754622096338
SYNCID0000000079,6532,"Paint, Glass and Wallpaper Stores",Specialty Stores,2,219715,,,,,,,,,,,,,1,8899.15,0,,,,,,,,,,0.0,100.0
SYNCID0000000080,8653,"Offices of Dentists, General Practice",Healthcare Providers,0,0,,,,,,,,,,,,,,,,,0,,1,6255.65,,,,,0.0,0.0
SYNCID0000000081,9639,Other Theatrical and Staged Entertainment Services,Entertainment and Recreation,1,13684,,,,,,,,,19,826.192105263158,2,2122.345,,,,,,,,,,,,,0.0,78.7151858808946
SYNCID0000000082,4226,Rough and Framing Carpentry,Construction Trades and Finishing,0,0,,,,,,,,,3,910.956666666667,1,225.55,,,,,6,8647.05666666667,6,74922.5066666667,,,,,0.0,10.8282772488291
SYNCID0000000083,7215,Holding Companies,Investment Companies,1,36025,,,,,1,432.28,0,,,,,,,,,,1,243.07,3,491.853333333333,0,,1,153.54,0.0,29.3063420772853
SYNCID0000000084,4013,Residential Renovation,Residential and Commercial Building Construction,2,135506,11,715.539090909091,21,5610.84190476191,24,236.205416666667,0,,35,1674.10657142857,16,1294.65625,,,,,,,,,1,1959.56,0,,8.29432249099903,34.8451736595231
SYNCID0000000085,6412,General Stores,General Retail,0,77720,1,441.06,0,,16,139.49125,0,,7,1786.56142857143,3,2180.78666666667,,,,,,,,,,,,,2.03054986347446,69.8803151389817
SYNCID0000000086,other,,,0,0,,,,,16,75.455625,2,1236.205,199,2022.95175879397,119,2584.9374789916,,,,,2,201.61,1,285.89,2,547.5,9,341.914444444444,0.0,56.3884635934082
SYNCID0000000087,4499,Other Services Incidental to Construction n.e.c.,Construction Project Management,2,0,,,,,25,210.624,2,285.02,,,,,,,,,118,1667.69186440678,200,5308.93055,0,,1,21.39,0.0,15.9797786637241
SYNCID0000000088,7771,Management Consulting Services,Management Consulting,0,0,,,,,2,94.035,0,,,,,,,,,,3,235.506666666667,5,21795.21,,,,,0.0,0.814221160448324
SYNCID0000000089,9712,Beauty Shops,Personal and Household Services,3,125506,0,,2,1353.245,37,130.187837837838,2,2321.38,1,182.57,1,1101.85,,,,,0,,2,1694.28,16,1396.503125,18,726.871111111111,5.17820931063267,52.3152602669643
SYNCID0000000090,7771,Management Consulting Services,Management Consulting,1,230171,,,,,213,271.53985915493,2,867.61,,,,,,,,,,,,,,,,,0.0,97.0872477746289
SYNCID0000000091,4299,Other Trade Work n.e.c.,Construction Trades and Finishing,1,120718,,,,,1,0.0,0,,,,,,,,,,6,770.996666666667,4,6389.195,,,,,0.0,15.3265639060179
SYNCID0000000092,7611,Insurance and Real Estate Agencies,Legal and Accounting Services,50,0,,,,,,,,,11,8475.16545454545,4,4118.675,,,,,,,,,,,,,0.0,84.982250018049
SYNCID0000000093,7759,Other Scientific and Technical Services,Management Consulting,1,247492,,,,,5,83.402,1,3643.47,6,1414.26333333333,7,8279.53,,,,,7,1087.97285714286,4,845.4175,4,2368.0875,4,740.625,0.0,27.6688373142734
SYNCID0000000094,7752,Offices of Engineers,Management Consulting,2,,0,,2,5989.73,42,162.116666666667,1,183.02,4,15947.715,4,1537.06,,,,,9,237754.044444444,8,50983.22125,1,515.82,6,430.346666666667,0.0031833638609328,83.7570565654739
SYNCID0000000095,7511,Operators of Residential Buildings and Dwellings,Real Estate Operators,0,0,3,174.076666666667,8,3708.475,4,58.685,0,,,,,,,,,,6,418.17,1,1091.38,,,,,22.3480441096988,9.59874704520213
SYNCID0000000096,other,,,4,767846,,,,,,,,,3,1473.73333333333,0,,,,,,71,3784.36366197183,29,9163.58724137931,,,,,0.0,50.6835780791142
SYNCID0000000097,7759,Other Scientific and Technical Services,Management Consulting,2,,,,,,,,,,2,1299.035,0,,4,5437.115,1,6970.17,4,1120.1925,2,61.86,,,,,0.0,80.2515172799119
SYNCID0000000098,5999,"Other Products n.e.c., Wholesale",General Merchandise Wholesale,40,0,,,,,,,,,1,792.42,1,847.48,,,,,26,9097.40538461539,25,13416.6776,5,986.516,0,,0.0,41.8752539661589
SYNCID0000000099,0112,,,2,683362,1,513.41,0,,1,218.43,0,,1,62.37,0,,,,,,3,466.046666666667,0,,14,2482.49571428571,3,669.673333333333,1.31791229713492,94.8428893804367
SYNCID0000000100,8651,"Offices of Physicians, General Practice",Healthcare Providers,0,0,9,292.168888888889,5,8103.352,24,171.0325,2,421.395,1,203.76,0,,,,,,0,,2,73.285,44,863.522954545455,121,598.048429752066,1.74045775569172,28.294840684735
SYNCID0000000101,8641,Child Day-Care and Nursery School Services,Healthcare Providers,10,500421,,,,,,,,,23,2727.52869565217,12,6952.9725,,,,,67,6802.83925373134,35,6236.62314285714,,,,,0.0,63.2159904443679
SYNCID0000000102,6031,Pharmacies,Grocery Stores,0,106274,,,,,,,,,3,95.74,4,3340.59,,,,,,,,,,,,,0.0,2.10424057003952
SYNCID0000000103,7292,"Estate, Trust and Agency Funds",Investment Companies,0,0,,,,,,,,,39,848.821538461538,15,1910.01533333333,,,,,,,,,,,,,0.0,53.6060745273161
SYNCID0000000104,4821,Telecommunication Carriers Industry,Broadcasting and Telecommunications,1,0,,,,,,,,,,,,,,,,,2,82.335,2,437.5,,,,,0.0,15.8386795810209
SYNCID0000000105,8651,"Offices of Physicians, General Practice",Healthcare Providers,1,0,,,,,1,3086.04,0,,,,,,,,,,12,1551.18583333333,45,979.184666666667,1,1611.23,1,283.17,0.0,34.4549157394294
SYNCID0000000106,4589,Other Transportation Industries n.e.c.,Trucking and Freight,1,0,2,276.835,4,1969.715,2,430.535,0,,15,10113.2146666667,32,2149.4065625,,,,,,,,,16,1566.985,2,560.73,0.542739945395102,69.6126380822769
SYNCID0000000107,6031,Pharmacies,Grocery Stores,,98313,0,,1,1066.72,33,420.890909090909,0,,48,1477.334375,15,886.765333333333,,,,,42,133751.968333333,402,4440.66124378109,1,1065.52,1,187.02,0.0,76.0140624018496
SYNCID0000000108,,,,0,0,,,,,,,,,35,4001.12342857143,24,3291.92708333333,,,,,8,3675.92625,3,608.923333333333,2,747.705,0,,0.0,67.8947597531067
SYNCID0000000109,0219,Other Services Incidental to Livestock and Animal Specialties,Agricultural Support and Services,1,212089,,,,,,,,,,,,,,,,,7,3234.68142857143,3,6551.76,,,,,0.0,53.5314748552238
SYNCID0000000110,8599,Other Educational Services,Educational Institutions,1,267345,1,426.38,2,5716.195,34,196.165294117647,0,,,,,,,,,,45,3767.01933333333,25,2193.092,1,54.14,1,2131.8,0.173991818246738,72.091656039909
SYNCID0000000111,other,,,4,0,,,,,,,,,20,2288.4315,5,4350.454,,,,,2,5159.11,1,3639.11,6,1667.75,0,,0.0,72.2452260612235
SYNCID0000000112,4581,Taxicab Industry,Trucking and Freight,,0,,,,,,,,,,,,,,,,,4,118.9725,4,7063.8275,,,,,0.0,1.65635267583672
SYNCID0000000113,6581,Toy and Hobby Stores,Specialty Stores,,40287,,,,,,,,,24,7255.34666666667,21,2305.47619047619,,,,,16,7062.481875,121,4549.24157024793,0,,1,190.8,0.0,32.4002034051174
SYNCID0000000114,8669,Offices of Other Health Practitioners,Healthcare Providers,,0,,,,,76,346.085526315789,0,,,,,,,,,,,,,,,,,,0.0,100.0
SYNCID0000000115,7292,"Estate, Trust and Agency Funds",Investment Companies,2,,,,,,5,1043.488,0,,5,1697.676,1,914.14,,,,,3,370.556666666667,2,437.305,,,,,0.0,89.2284466561967
SYNCID0000000116,7761,Offices of Lawyers and Notaries,Management Consulting,1,240032,,,,,3,362.676666666667,0,,15,3622.29733333333,21,855.139523809524,,,,,8,7481.2375,8,2410.80875,6,759.378333333333,3,436.053333333333,0.0,75.658376668648
SYNCID0000000117,4214,Excavating and Grading,Construction Trades and Finishing,,,,,,,299,272.933913043478,2,396.01,28,1129.64857142857,27,3081.95962962963,,,,,3,2772.15,1,5261.0,17,877.102941176471,1,2149.9,0.0,59.8842998497063
SYNCID0000000118,4011,Single Family Housing,Residential and Commercial Building Construction,1,16086,,,,,10,162.694,0,,14,2785.63928571429,11,4204.38727272727,,,,,,,,,0,,1,64.03,0.0,46.7296301808941
SYNCID0000000119,8652,"Offices of Physicians and Surgeons, Specialists",Healthcare Providers,1,25481,,,,,,,,,,,,,,,,,5,3078.782,1,1543.22,,,,,0.0,90.8885389673457
SYNCID0000000120,8653,"Offices of Dentists, General Practice",Healthcare Providers,0,0,,,,,,,,,4,1353.0375,2,2646.59,,,,,89,6051.22089887641,191,2903.50078534031,,,,,0.0,49.2801888880546
SYNCID0000000122,,,,2,147280,,,,,4,403.585,0,,,,,,,,,,0,,2,15411.315,,,,,0.0,4.97685203026053
SYNCID0000000123,9861,Civic and Fraternal Organizations,Professional and Civic Organizations,0,,,,,,,,,,3,2245.21,2,18084.03,,,,,,,,,,,,,0.0,15.6994188611749
SYNCID0000000124,7215,Holding Companies,Investment Companies,1,56334,,,,,9,105.898888888889,1,119.56,0,,1,24.29,,,,,0,,1,35.92,3,126.096666666667,9,1165.24888888889,0.0,11.0963220898804
SYNCID0000000125,0112,,,1,66961,,,,,1,49.35,0,,11,3989.58909090909,11,9694.66727272727,,,,,10,20530.838,11,6674.11636363636,,,,,0.0,58.0580733050838
SYNCID0000000126,0122,Horse and Other Equine Farms,Agriculture and Farming,2,0,,,,,27,171.620740740741,1,687.51,3,537.143333333333,2,1468.32,,,,,25,1733.7544,6,49696.55,19,885.960526315789,35,384.561142857143,0.0,17.402369003435
SYNCID0000000127,4011,Single Family Housing,Residential and Commercial Building Construction,1,180569,,,,,6,111.675,1,2014.84,1,960.0,2,1701.02,,,,,19,5736.37578947368,21,2445.49952380952,6,1323.07,0,,0.0,67.6200713640489
SYNCID0000000128,4565,Forest Products Trucking Industry,Trucking and Freight,0,0,,,,,,,,,,,,,,,,,79,2734.52278481013,189,1364.04052910053,,,,,0.0,45.5916388409909
SYNCID0000000129,,,,3,258907,16,497.195625,14,4089.08571428571,57,145.87701754386,0,,1,2238.37,1,417.08,,,,,0,,3,473.54,0,,1,256.58,31.8749384232261,23.7745627904545
SYNCID0000000131,7215,Holding Companies,Investment Companies,,0,0,,2,424.535,49,195.199387755102,3,600.93,,,,,,,,,,,,,,,,,4.28866225792219,78.2930317116914
SYNCID0000000132,7215,Holding Companies,Investment Companies,0,0,,,,,17,184.103529411765,1,2347.92,4,1578.9875,2,851.345,,,,,,,,,,,,,0.0,69.9873002418437
SYNCID0000000133,4021,Manufacturing and Light Industrial Building,Residential and Commercial Building Construction,1,,,,,,,,,,,,,,,,,,11,5009.21454545455,8,2528.5175,,,,,0.0,73.1471203180693
SYNCID0000000134,7215,Holding Companies,Investment Companies,0,0,,,,,,,,,0,,1,1037.27,,,,,3,764.74,1,34.8,,,,,0.0,68.1527735281274
SYNCID0000000135,6561,Jewellery Stores,Specialty Stores,1,75420,,,,,1,19.33,1,39.82,,,,,,,,,,,,,,,,,0.0,32.6796280642434
SYNCID0000000136,7421,Mortgage Brokers,Mortgage Brokers,2,0,,,,,,,,,1,568.14,1,585.04,,,,,,,,,,,,,0.0,49.2672436219844
SYNCID0000000137,8651,"Offices of Physicians, General Practice",Healthcare Providers,,0,,,,,,,,,,,,,,,,,38,15523.3165789474,256,5667.9363671875,,,,,0.0,28.9035456871611
SYNCID0000000138,4499,Other Services Incidental to Construction n.e.c.,Construction Project Management,1,252312,,,,,,,,,13,9428.20846153846,7,1129.15142857143,,,,,2,4392.995,2,58080.695,0,,1,1043.17,0.0,51.2173531665516
SYNCID0000000139,9999,Other Services n.e.c.,Miscellaneous Services,,0,,,,,,,,,2,497.0,1,429.81,,,,,1,31.34,0,,15,908.335333333333,29,750.165517241379,0.0,39.7729820947371
SYNCID0000000140,9611,Motion Picture and Video Production,Entertainment and Recreation,0,0,,,,,34,245.173235294118,0,,4,1335.6925,6,370.955,,,,,,,,,6,730.0,1,1597.98,0.0,82.5260700737626
SYNCID0000000141,other,,,8,1253269,,,,,,,,,,,,,,,,,12,3179.135,16,1493.120625,,,,,0.0,61.4924189488802
SYNCID0000000142,0919,Other Service Industries Incidental to Crude Petroleum and Natural Gas,Services for Mining and Petroleum,0,604797,,,,,263,227.344600760456,9,1091.11,,,,,,,,,,,,,,,,,0.0,85.8931741568434
